,,,,,,,
0.6591,1.1736,0.9045,0.99997,0,-0,0.99997,3.1638
1.0075,1.7502,0.90194,0.99991,0,-0,0.99991,3.5782
1.0075,1.7502,0.90194,0.99991,0,-0,0.99991,3.5782
0.33583,0.58341,0.90194,0.99991,0,-0,0.99991,1.1927
1.679,2.917,0.90081,0.99912,0,-0,0.99912,4.69
3.3579,5.8339,0.90002,0.9994,0,-0,0.9994,9.79
1.1364,2.0676,0.90162,0.9992,0,-0,0.9992,3.6749
4.5455,8.2704,0.90162,0.9992,0,-0,0.9992,14.7
11.364,20.676,0.90162,0.9992,0,-0,0.9992,36.749
21.971,39.222,0.90354,0.99997,0,-0,0.99997,105.46
0.49373,0.90846,0.90119,0.99999,0,-0,0.99999,1.89
2.468,4.5421,0.90119,0.99999,0,-0,0.99999,9.39
4.936,9.0841,0.90057,0.9998,0,-0,0.9998,15.09
1.2033,2.2907,0.90121,0.99958,0,-0,0.99958,4.2275
